DATE,CPI,Federal_Funds,Unemployment,Wages,Labor_output,GDP
1/1/1989,4.6729,9.443333333,-7.28394,-1.82371,0.81005,4.31521
4/1/1989,4.53558,9.726666667,-2.5394,-0.92308,0.88198,3.7483
7/1/1989,4.37819,9.083333333,-2.27409,-0.92308,1.09741,3.90812
10/1/1989,4.37898,8.613333333,2.03333,-0.61728,0.87586,2.74381
1/1/1990,4.59559,8.25,3.92289,-1.23839,1.76078,2.8213
4/1/1990,4.83242,8.243333333,3.65088,-0.93168,2.14654,2.41276
7/1/1990,5.37828,8.16,9.604,-2.79503,1.99035,1.72721
10/1/1990,5.31401,7.743333333,15.49296,-3.10559,0.92459,0.60288
1/1/1991,5.49837,6.426666667,24.32378,-0.94044,0.29222,-0.9502
4/1/1991,5.08055,5.863333333,28.50614,-2.19436,1.21782,-0.53884
7/1/1991,4.66422,5.643333333,20.93305,-0.31949,1.7484,-0.10272
10/1/1991,4.4423,4.816666667,16.6364,0.32051,3.29015,1.16642
1/1/1992,3.85531,4.023333333,13.3958,-0.31646,5.01866,2.85865
4/1/1992,3.82075,3.77,12.88128,0.32051,4.21512,3.16957
7/1/1992,3.49977,3.256666667,13.25941,0.64103,4.27034,3.66535
10/1/1992,3.46741,3.036666667,5.74321,-0.31949,4.40767,4.38298
1/1/1993,3.46013,3.04,-2.24492,0,1.49475,3.32091
4/1/1993,3.43026,3,-6.22967,1.27796,0.02009,2.80787
7/1/1993,3.24617,3.06,-10.23523,1.59236,-0.41812,2.28771
10/1/1993,3.12779,2.99,-9.64586,2.24359,-0.62875,2.60856
1/1/1994,2.90144,3.213333333,-6.82412,0.31746,0.54824,3.43094
4/1/1994,2.74544,3.94,-11.71293,0,1.22535,4.22545
7/1/1994,2.90393,4.486666667,-10.58053,-1.5674,0.19533,4.33665
10/1/1994,2.7513,5.166666667,-13.70639,-1.5674,0.8656,4.11576
1/1/1995,2.94877,5.81,-15.44991,-0.94937,0.63537,3.48112
4/1/1995,3.07824,6.02,-6.91267,-0.94637,1.05329,2.40225
7/1/1995,2.99173,5.796666667,-4.76009,0.95541,1.59641,2.67322
10/1/1995,3.05714,5.72,-0.26982,-0.31847,1.10271,2.19967
